racket_id,full_name,series,balance,balance_rating,stiffness,stiffness_rating,material,suitable_for,skill_level,play_style,price_baht,random_values_bal,random_values_stf
1,Astrox 99,Astrox,Slightly head heavy,4,Stiff,4,"Graphite, Namd",Advanced singles players with a good technique,Advanced,Offense,,-0.3417,-0.4004
2,Astrox 88 S,Astrox,Slightly head heavy,4,Stiff,4,"Graphite, Nanometric, Tungsten",Intermediate and advanced players - especially frontcourt players with the soft touch,Intermediate,Offense,5054.19,-0.0787,0.0125
3,Astrox 88 D,Astrox,Head heavy,5,Stiff,4,"Graphite, Namd",Intermediate and advanced players - especially for backcourt players thundering down smashes,Intermediate,Offense,5054.19,-0.3031,-0.0988
4,Astrox 77,Astrox,Even balanced,3,Medium,3,"Graphite, Namd",Attacking players,Intermediate,Offense,4837.9,-0.2634,-0.3358
5,Astrox 66,Astrox,Head light,1,Flexible,2,"Graphite, Namd","Defense, Doubles due to low weight",Intermediate,Defense,4507.96,-0.4803,-0.3203
6,Astrox 55,Astrox,Head heavy,5,Stiff,4,"Graphite, Tungsten",Offense - for steep smashes,Intermediate,Offense,4863.56,-0.498,-0.2477
7,Astrox 22,Astrox,Head heavy,5,Stiff,4,"Graphite, Tungsten","Attacking players due to stiff, head heavy shaft and very low weight - perfect acceleration",Intermediate,Offense,2934.27,0.1536,0.0147
8,Astrox 7,Astrox,Even balanced,3,Medium,3,"Graphite, Tungsten",Allround Players - Beginner and Intermediate Level,Beginner,All-round,3053.78,0.0242,-0.3989
9,Astrox 6,Astrox,Slightly head heavy,4,Very flexible,1,"Graphite, Tungsten",Allround Racket,Beginner,All-round,,0.0094,-0.2346
10,Astrox FB,Astrox,Slightly head heavy,4,Medium,3,"Graphite, Nanomesh Neo",Very light-weight racket - easy to handle for beginners,Beginner,All-round,2320.58,0.2866,0.1219
11,Astrox 100 ZZ,Astrox,Head heavy,5,Very stiff,5,"Graphite, Namd, Tungsten, Black Micro Core",Clearly a racket for attacking players with an agressive style - Best for Singles Discipline,Advanced,Offense,,0.4139,-0.1969
12,Astrox 100 ZX,Astrox,Head heavy,5,Very stiff,5,"HM Graphite, Nanomesh Neo, Tungsten",Powerplay,Advanced,Offense,,0.2355,0.2103
13,Nanoflare 800,Nanoflare,Head light,1,Stiff,4,"HM Graphite, Nanometric",Advanced players - Enhanced swinging speed due to head light racket balance and extra-thin frame -> enormous shuttle acceleration,Advanced,Offense,,0.1287,0.4516
